card_id,transaction_dt,score,postcode,UCL
340028465709212,2018-02-01T03:25:35.000Z,233,24658,15456006.03
340054675199675,2018-10-01T02:47:11.000Z,631,77373,14464963.61
340082915339645,2017-11-05T00:21:19.000Z,407,76679,17019185.63
340134186926007,2017-12-05T07:57:21.000Z,614,99769,13896984
340265728490548,2017-12-10T17:26:43.000Z,202,65501,15921362.74
340268219434811,2018-12-01T12:43:17.000Z,415,57030,15997032.76
340379737226464,2018-11-01T19:09:55.000Z,229,96105,14334258.59
340383645652108,2017-12-11T17:49:09.000Z,645,30634,15577790.93
340803866934451,2018-10-01T20:20:34.000Z,502,38581,12454639.15
340889618969736,2017-10-10T19:48:00.000Z,330,26202,12846679.58
340924125838453,2017-12-10T15:41:23.000Z,644,46392,13096187.84
341005627432127,2018-11-01T19:09:55.000Z,629,85352,11609195.41
341029651579925,2018-05-01T17:27:03.000Z,682,20137,14062523.73
341311317050937,2017-12-11T12:33:09.000Z,440,72166,14858326.58
341344252914274,2018-12-01T02:11:16.000Z,643,28325,11580881.8
341363858179050,2017-11-12T04:44:49.000Z,559,17082,14119772.77
341519629171378,2018-09-01T00:27:09.000Z,408,43156,13783303
341641153427489,2017-09-04T02:54:52.000Z,475,71254,13282300.16
341719092861087,2018-12-01T00:25:55.000Z,442,27942,13483776.87
341722035429601,2018-08-01T12:09:49.000Z,552,94501,15875301.37
341724964458347,2017-10-12T12:56:47.000Z,695,12777,14448331.74
341920010925925,2018-12-01T23:15:18.000Z,570,17508,11625020.66
342016727481601,2017-12-06T04:49:06.000Z,408,45859,14126876.54
342048672911139,2017-12-06T17:06:28.000Z,208,16619,12664974.63
342106756753728,2018-01-01T06:21:33.000Z,594,22485,16852469.25
342136378319429,2018-12-01T14:28:37.000Z,237,85263,13640891.35
342341653931950,2018-09-01T07:28:30.000Z,217,99655,16408068.5
342400733369183,2018-09-01T10:59:11.000Z,326,27342,13472390.83
342409040326783,2017-12-03T16:33:54.000Z,411,17325,13658509.89
342541202178377,2017-12-02T12:39:34.000Z,465,97040,10644227.74
342659393657862,2018-12-01T23:15:18.000Z,146,29148,15355199.2
342679959520647,2018-05-01T17:27:02.000Z,564,12836,13912787.88
342684196338179,2017-11-09T01:16:17.000Z,458,63879,13291754.34
342853996970884,2018-06-01T00:28:23.000Z,474,34756,14305839.59
342894449456021,2018-04-01T04:35:00.000Z,699,13035,13135349.54
342917304031089,2017-11-11T15:29:06.000Z,528,32950,12280321.6
342966201267661,2017-12-02T00:22:13.000Z,464,70373,14752367.15
343021795545168,2018-11-01T13:53:55.000Z,464,22968,15898345.13
343107037888023,2018-10-01T02:47:12.000Z,353,17583,12103181.33
343252340741735,2018-06-01T23:17:46.000Z,386,49901,11576773.35
343330859464824,2018-07-01T09:49:47.000Z,497,30701,13680524.99
343478616471867,2017-11-12T06:30:09.000Z,302,52307,13999877.96
343753962914526,2018-10-01T20:20:34.000Z,684,99606,12952959.46
343794320536223,2018-03-01T09:16:18.000Z,383,77474,16044570.52
343802190729995,2018-07-01T08:04:26.000Z,331,81525,11766536.45
343803912797603,2018-08-01T01:37:47.000Z,344,58036,13247462.1
343902075851032,2018-12-01T17:59:18.000Z,392,59440,12600934.94
343923894022124,2018-07-01T08:04:26.000Z,453,14551,13593172.93
343953209773343,2018-07-01T06:19:06.000Z,401,92350,11984589.27
343962656588624,2018-07-01T18:36:27.000Z,442,27521,14090063.15
343991629633818,2018-09-01T12:44:31.000Z,591,32428,14243760.75
344000005693030,2017-12-07T11:38:10.000Z,584,16410,14500497.78
344002520206946,2017-11-02T22:36:54.000Z,271,18443,14840419.33
344143554194093,2017-11-07T04:02:07.000Z,301,85348,12700729.67
344209859893876,2017-12-12T01:48:51.000Z,570,83443,11237055.88
344250415187512,2018-01-01T09:52:13.000Z,385,99161,13622969.87
344261255055849,2017-12-10T20:57:25.000Z,269,68785,13686037.56
344383976541266,2018-04-01T01:04:19.000Z,398,99588,13852049.69
344402144417599,2018-10-01T01:01:52.000Z,284,29650,13776792.73
344453305077666,2017-12-01T19:18:30.000Z,465,76682,12742939.51
344490156298215,2018-12-01T23:15:18.000Z,445,39661,12528824.41
344544208972277,2018-04-01T06:20:20.000Z,367,12110,14388188.9
344583480345238,2018-10-01T04:32:32.000Z,575,54107,14562950.41
344713754834914,2017-11-11T18:59:47.000Z,365,58752,15271947.83
344770738264186,2018-03-01T23:18:59.000Z,409,13318,12393588.95
344827223085982,2017-11-11T18:59:47.000Z,403,20622,13593043.7
344997383137673,2017-11-09T18:49:38.000Z,249,13408,12787369.21
345006580195330,2018-02-01T10:26:56.000Z,467,24251,12529193.12
345027679564944,2017-12-11T16:03:49.000Z,502,55349,14880144.34
345077775078680,2018-06-01T14:31:05.000Z,567,98940,14925983.4
345082162474452,2018-01-01T20:24:15.000Z,286,52168,15739302.14
345082216803859,2017-12-11T16:03:49.000Z,700,85633,12303049.49
345140945581726,2018-08-01T13:55:09.000Z,401,20625,14372826.31
345158301963131,2018-03-01T12:46:59.000Z,305,79843,14977032.42
345245362189127,2018-06-01T12:45:45.000Z,251,41265,12908865.61
345261664350609,2018-06-01T14:31:04.000Z,551,65679,12554642.03
345406224887566,2017-11-06T16:31:45.000Z,349,14510,14515859.97
345419819846363,2017-12-10T12:10:44.000Z,301,67631,12593365.86
345498289160361,2018-07-01T20:21:47.000Z,596,14450,11369430.47
345545562194266,2018-11-01T15:39:15.000Z,408,29330,14050333.72
345599472667975,2017-12-11T16:03:49.000Z,332,39479,14818511.51
345789731252528,2017-09-11T05:33:02.000Z,451,80825,14306818.92
345864096406128,2018-12-01T23:15:18.000Z,677,59007,13913272.86
345876265017055,2018-11-01T10:23:15.000Z,369,31775,10460094.87
345925144288000,2018-09-01T03:57:50.000Z,501,72411,12997761
345949260434768,2017-12-12T05:19:31.000Z,485,58451,12037087.98
345969858843082,2018-12-01T16:13:57.000Z,587,54960,10622720.42
346001716915984,2017-11-03T23:00:32.000Z,364,72718,13303702.61
346071750538869,2018-03-01T11:01:37.000Z,648,83854,14472355.15
346119019394205,2018-08-01T19:11:09.000Z,423,21014,11248205.64
346191575038236,2018-06-01T03:59:04.000Z,440,53522,12422787.08
346375938531281,2018-11-01T20:55:16.000Z,463,64651,12231291.74
346417268270064,2017-10-12T07:40:48.000Z,504,47146,14612254.07
346600847616797,2017-12-07T01:06:09.000Z,610,37764,11731174.51
346618652451637,2018-09-01T03:57:50.000Z,205,41727,15675539.21
346705343409319,2017-11-12T20:32:50.000Z,207,45898,14580261.32
346723578776723,2018-06-01T18:01:44.000Z,559,93529,14214257.63
346829826446934,2018-10-01T18:35:13.000Z,451,78016,15173724.3
347051350857346,2018-10-01T20:20:34.000Z,228,45839,14242993.69
347110035412723,2017-06-02T03:55:21.000Z,582,48416,14935255.21
347128485339604,2017-12-01T05:15:49.000Z,264,39348,14399294.54
347177017703006,2018-12-01T14:28:37.000Z,553,26327,12665664.98
347269341929980,2017-12-09T19:24:21.000Z,266,13340,14148753.69
347274385563543,2018-02-01T17:28:17.000Z,414,16622,14655372.72
347361606702352,2018-12-01T19:44:37.000Z,378,13743,14062378.06
347364295787224,2018-01-01T20:24:15.000Z,518,33408,14052356.2
347370191043478,2018-09-01T03:57:50.000Z,394,94582,12378532.32
347403934542566,2017-06-03T23:37:42.000Z,579,63070,12934010.68
347566265344782,2018-01-01T04:36:13.000Z,552,17509,14400248.2
347697256845386,2018-11-01T13:53:55.000Z,338,17976,14285923.53
347723528908969,2018-07-01T06:19:06.000Z,267,48028,14824347.9
347736616723522,2018-12-01T19:44:38.000Z,356,23154,13205363.71
347742182023365,2017-12-04T02:53:38.000Z,622,19422,14857654.98
347816334672492,2017-12-09T12:23:00.000Z,599,35960,16848373.64
347893423075811,2018-07-01T16:51:07.000Z,429,89832,12232054.46
348157024306041,2017-12-10T20:57:24.000Z,622,14134,14331494.35
348165176221648,2018-11-01T19:09:56.000Z,622,57717,14091140.26
348176004451908,2018-07-01T20:21:47.000Z,525,17215,9905686.72
348190804567030,2017-11-07T00:00:00.000Z,212,87038,13933123.54
348235257615511,2018-03-01T05:45:38.000Z,557,96033,16347943.16
348390084708787,2018-07-01T06:19:06.000Z,507,59710,13220737.08
348400808911398,2018-04-01T01:04:19.000Z,588,13157,13656815.73
348413196172048,2018-12-01T21:29:58.000Z,642,92258,14239862.42
348518253481519,2017-10-11T02:37:04.000Z,644,92676,14665698.37
348535611438049,2017-12-05T09:42:41.000Z,205,12769,13721687.57
348536585266345,2018-11-01T17:24:36.000Z,413,38863,13854774.38
348546826126582,2018-12-01T23:15:17.000Z,286,48159,12278927.98
348684315090900,2018-12-01T12:43:17.000Z,260,70001,14621729.51
348701439056464,2017-11-09T01:16:17.000Z,685,74720,12451374.8
348702330256514,2018-11-02T00:00:00.000Z,339,33946,13011526.35
348818434931000,2018-01-02T01:27:58.000Z,282,56701,13599127.94
348890647161465,2018-01-01T08:06:54.000Z,293,96080,9924773.46
348962542187595,2018-05-01T22:43:04.000Z,522,81132,15252305.91
349000329241977,2018-01-01T06:21:33.000Z,358,28681,14931037.71
349076799101265,2018-09-01T02:12:30.000Z,231,82941,12876069.67
349081750252918,2017-11-12T20:32:51.000Z,500,77568,13407315.45
349143706735646,2018-10-01T15:04:33.000Z,298,54498,12596656.37
349150311183125,2018-12-01T17:59:18.000Z,224,99666,12461744.45
349186222855183,2017-11-11T11:58:27.000Z,612,48501,14276713.97
